genre,count
pop,1716
rap,1432
pop rap,1430
dance pop,1194
post-teen pop,1050
hip hop,923
trap,884
contemporary country,736
country road,597
country,595
southern hip hop,519
modern country rock,356
atl hip hop,316
r&b,300
canadian pop,273
melodic rap,272
urban contemporary,233
pop rock,200
hollywood,200
glee club,181
neo mellow,153
canadian hip hop,150
toronto rap,150
edm,144
gangster rap,142
country pop,128
tropical house,127
hip pop,126
modern rock,123
miami hip hop,118
latin,117
electropop,112
chicago rap,111
conscious hip hop,105
viral pop,105
country dawn,104
uk pop,102
dirty south rap,86
philly rap,83
detroit hip hop,72
alternative r&b,66
post-grunge,65
oklahoma country,63
talent show,62
canadian contemporary r&b,60
neo soul,59
boy band,58
reggaeton,57
electro house,56
rock,55
atl trap,53
nc hip hop,52
new orleans rap,50
emo rap,50
underground hip hop,48
alternative metal,47
redneck,46
deep pop r&b,45
tropical,43
baton rouge rap,43
permanent wave,42
queens hip hop,42
latin pop,41
australian pop,40
g funk,40
dfw rap,39
pittsburgh rap,38
deep talent show,38
indie poptimism,37
nu metal,35
metropopolis,35
indie pop,34
west coast rap,34
emo,32
big room,31
social media pop,30
trap latino,30
progressive house,29
florida rap,29
barbadian pop,28
mexican pop,27
pop punk,27
art pop,27
adult standards,26
k-pop,26
house,26
trap queen,25
uk dance,25
texas country,24
brostep,22
stomp and holler,21
piano rock,20
cali rap,20
baroque pop,20
australian country,20
folk-pop,19
acoustic pop,19
memphis hip hop,19
candy pop,19
dmv rap,19
indietronica,18
arkansas country,18
k-pop boy group,18
east coast hip hop,18
lgbtq+ hip hop,18
alternative rock,17
complextro,16
vapor trap,16
british soul,16
idol,16
bachata,14
singer-songwriter,14
modern alternative rock,13
progressive electro house,13
indie pop rap,13
europop,13
latin hip hop,12
colombian pop,12
pop emo,12
show tunes,12
houston rap,11
uk americana,11
brooklyn drill,11
girl group,11
australian dance,11
rap metal,11
modern folk rock,11
german techno,11
neon pop punk,10
reggae fusion,10
ohio hip hop,10
indie rock,10
outlaw country,10
lilith,10
funk,10
australian hip hop,10
lounge,10
etherpop,10
quiet storm,10
comic,10
easy listening,9
viral trap,9
puerto rican pop,9
new jersey rap,9
soul,9
crunk,9
electronic trap,9
north carolina hip hop,9
reggaeton flow,9
nyc rap,9
country rap,8
moombahton,8
brill building pop,8
escape room,8
garage rock,8
mellow gold,8
swedish electropop,8
pixie,8
nz pop,8
swedish pop,8
electropowerpop,8
teen pop,8
new wave pop,7
motown,7
funk rock,7
indiecoustica,7
electro,7
classic rock,7
ny roots,7
hardcore hip hop,7
scandipop,7
drill,7
new jack swing,6
disney,6
country rock,6
canadian rock,6
alternative dance,6
la indie,6
christian music,6
dance-punk,6
heartland rock,6
art rock,6
album rock,6
ccm,6
folk,6
celtic rock,6
uk funky,5
blues rock,5
alternative hip hop,5
vocal jazz,5
new rave,5
soft rock,5
a cappella,5
modern blues rock,5
punk blues,5
worship,5
minneapolis sound,5
trap soul,5
punk,5
uk contemporary r&b,5
glam rock,5
rap latina,4
trance,4
irish rock,4
swedish synthpop,4
chicago drill,4
pop edm,4
dance rock,4
socal pop punk,4
hyphy,4
disco house,4
christian alternative rock,4
k-hop,4
uk alternative pop,4
melancholia,3
new americana,3
hawaiian hip hop,3
rap conscient,3
deep big room,3
movie tunes,3
downtempo,3
latin viral pop,3
australian electropop,3
pop r&b,3
stomp pop,3
bronx hip hop,3
grunge,3
slap house,3
australian indie,3
k-pop girl group,3
modern uplift,3
dancehall,3
danish pop,3
canadian country,3
canadian indie,3
folk rock,3
kentucky hip hop,3
bedroom pop,3
dutch house,3
canadian trap,3
groove metal,3
protopunk,3
minnesota hip hop,3
neo-synthpop,3
filter house,2
south african rock,2
deep southern trap,2
cowboy western,2
post-punk,2
shimmer pop,2
grime,2
metal,2
latin arena pop,2
vocal house,2
christian pop,2
christian indie,2
alt z,2
gospel r&b,2
experimental rock,2
reggaeton colombiano,2
rockabilly,2
boston hip hop,2
traditional country,2
alternative pop rock,2
pop soul,2
panamanian pop,2
christian rock,2
experimental,2
catstep,2
rap rock,2
rock-and-roll,2
romanian pop,2
slow game,2
broadway,2
anthem worship,2
psychedelic rock,2
modern southern rock,2
neo-traditional country,2
nu gaze,2
canadian singer-songwriter,2
hard rock,2
irish singer-songwriter,2
tennessee hip hop,2
canadian metal,2
viral rap,2
bow pop,2
yodeling,2
indie soul,2
funk metal,2
jam band,2
country gospel,2
electra,2
world worship,2
wrestling,1
lo star,1
rebel blues,1
pop dance,1
classic country pop,1
gospel,1
chicago hardcore,1
old school hip hop,1
champeta,1
west coast trap,1
scorecore,1
alberta country,1
alabama rap,1
icelandic rock,1
israeli pop,1
bubblegum dance,1
melbourne bounce international,1
brooklyn indie,1
soundtrack,1
salsa,1
trap boricua,1
plugg,1
latin rock,1
aussietronica,1
bass trap,1
dutch hip hop,1
chinese hip hop,1
roots americana,1
indie electropop,1
chicago house,1
indie r&b,1
glam metal,1
nyc pop,1
comedy,1
sertanejo universitario,1
la pop,1
bmore,1
cartoon,1
vallenato,1
alabama indie,1
bedroom soul,1
battle rap,1
parody,1
deep house,1
trancecore,1
chinese idol pop,1
progressive trance,1
destroy techno,1
j-pop,1
deep underground hip hop,1
ectofolk,1
san diego rap,1
canadian contemporary country,1
modern salsa,1
vapor pop,1
bubblegum pop,1
shiver pop,1
middle earth,1
canadian electronic,1
pinoy hip hop,1
liquid funk,1
classic uk pop,1
classic girl group,1
german pop,1
detroit trap,1
quebec indie,1
progressive rock,1
sheffield indie,1
arkansas hip hop,1
antiviral pop,1
australian house,1
deep euro house,1
lds youth,1
cedm,1
chicago indie,1
indie folk,1
canadian folk,1
drum and bass,1
ninja,1
french shoegaze,1
celtic,1
post-metal,1
ghanaian hip hop,1
electronic rock,1
comedy rock,1
rock en espanol,1
american folk revival,1
children's music,1
mexican rock,1
sertanejo,1
vapor twitch,1
progressive metal,1
queer country,1
jazz rap,1
nashville sound,1
yacht rock,1
indy indie,1
lovers rock,1
german dance,1
sertanejo pop,1
hopebeat,1
neo-singer-songwriter,1
k-rap,1
hardcore punk,1
portland hip hop,1
nu-metalcore,1
chicago punk,1
pop reggaeton,1
eurodance,1
japanese singer-songwriter,1
icelandic indie,1
chamber pop,1
virgin islands reggae,1
bass house,1
